Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
SMALL ENGINES OF SEYMOUR,SEYMOUR,726 EAST TIPTON ST,Jackson IN,47274,D3,$0,$688,$0,$717,38.95804047,-85.87904453
SMART WAREHOUSING,OVERLAND PARK,7309 W 80TH STREET,Johnson KS,66204,D3,$0,$0,$0,$341,38.98391566,-94.67028800
SMITHFIELD DIRECT,GREENFIELD,3271 NORTH DISTRIBUTION WAY,Hancock IN,46140,P,$0,$0,$0,$0,39.83206700,-85.90327600
SMOCKTOWN BREWERY,GREENWOOD,223 WEST MAIN ST,Johnson IN,46142,P,$0,$0,$0,$0,39.61356700,-86.10907400
SMOKING GOOSE,INDIANAPOLIS,407 N DORMAN ST,Marion IN,46202,D3,$0,$0,$535,$535,,
SNORKEL INTERNATIONA,ST JOSEPH,PO BOX 1160,Buchanan MO,64502,P,$0,$0,$0,$0,,
SNYDER & LEHNEN SHEET METAL,LAFAYETTE,1630 MAIN ST,Tippecanoe IN,47903,D3,$0,$664,$0,$667,40.41707773,-86.87818083
SNYDERS LANCE,PLAINFIELD,1705 MIDWEST DRIVE,Hendricks IN,46118,B3,$0,$26278,$54730,$83976,,
SNYDERS LANCE INC,HANOVER,PO BOX 6917,York PA,17331,B3,$0,$1752,$0,$83976,,
SNYDERS LANCE INC,INDIANAPOLIS,9040 ORLY RD,Marion IN,46241,B3,$0,$521,$0,$83976,39.67530140,-86.31914539
SOCIETY OF ST. ANDREW,INDIANAPOLIS,6450 ALLISONVILLE ROAD,Marion IN,46220,P,$0,$0,$0,$0,39.87524524,-86.09379890
SOLIDEAL USA,CHARLOTTE,PO BOX 60158,Mecklenburg NC,28260,P,$0,$0,$0,$0,,
SOLIDEAL USA,INDIANAPOLIS,4024 MILLERSVILLE RD,Marion IN,46205,P,$0,$0,$0,$0,39.82967725,-86.12469675
SONY DADC,TERRE HAUTE,1800 N FRUITRIDGE AVENUE,Vigo IN,47804,D3,$0,$2413,$0,$5098,39.50268051,-87.36036736
SOUTH CENTRAL COMPANY,COLUMBUS,3055 STATE ST,Bartholomew IN,47201,P,$0,$0,$0,$0,39.18969900,-85.88830200
SOUTHDALE TOWER,ANDERSON,524 W 53rd ST,Madison IN,46013,P,$0,$0,$0,$0,40.06176750,-85.68433418
SOUTHERN GLAZERS WINE & SPIRITS,INDIANAPOLIS,3601 HANNA CIRCLE,Marion IN,46241,C3,$0,$0,$0,$21639,39.70866900,-86.25816400
SOUTHWARK,INDIANAPOLIS,10401 E 59TH STREET,Marion IN,46236,P,$0,$0,$0,$0,39.86301000,-85.98410900
SOUTHWIRE COLEMAN CABLE,LAFAYETTE,3400 UNION ST,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.42494900,-86.85506900
SPACE KRAFT,INDIANAPOLIS,4901 W 79TH ST,Marion IN,46268,P,$0,$0,$0,($450),39.89661500,-86.24331400
SPARTAN LOGISTICS,GREENWOOD,642 CHANEY AVE,Johnson IN,46143,P,$0,$0,$0,$0,39.62303200,-86.06983300
SPECIALTY COATING SYSTEMS,INDIANAPOLIS,7645 WOODLAND DR,Marion IN,46278,D3,$0,$91,$0,$91,,
SPECIALTY RIM SUPPLY,TERRE HAUTE,1140 CRAWFORD STREET,Vigo IN,47807,D3,$0,$0,$0,$416,39.45927957,-87.39991334
SPECIALTY TOOL AND DIE CO,KOKOMO,1614 RANK PARKWAY COURT,Howard IN,46901,D3,$0,$1344,$0,$1344,40.49738650,-86.10935974
SPECTRUM BRANDS,NOBLESVILLE,20975 CREEK RD,Hamilton IN,46060,P,$0,$0,$0,$0,40.09122600,-85.95295600
SPEEDWAY INDOOR KARTING,SPEEDWAY,1067 MAIN ST,Marion IN,46224,P,$0,$0,$0,$0,39.78392845,-86.24091373
SPERRY & RICE,BROOKVILLE,9146 US 52,Franklin IN,47012,D3,$0,$2272,$0,$2272,39.37618560,-84.96915140
SPICELAND WOOD PRODUCTS,SPICELAND,609 S PEARL ST,Henry IN,47385,D3,$0,$1398,$0,$5169,39.83258749,-85.43901184
SPIDA USA LLC,JACKSONVILLE,11070 BLASIUS ROAD,Duval FL,32226,D3,$0,$546,$3440,$5056,30.43237986,-81.57007400
SPLASH TRANSPORT,SPICELAND,6083 S STATE RD #3,Henry IN,47385,D3,$0,$0,$2012,$2012,39.84431400,-85.42417000
SPRING HOUSE INC,ALEXANDRIA,1703 S PARK AVE,Madison IN,46001,D3,$0,$344,$0,$344,40.25178450,-85.67130700
SQUARE 1 DESIGN & MFG,SHELBYVILLE,1 CLARK RD,Shelby IN,46176,D3,$0,$1070,$0,$5056,39.51508200,-85.74327000
SRS/LOUIS T OLLESHEIMER & SON,INDIANAPOLIS,4316 W MINNESOTA STREET,Marion IN,46241,D3,$0,$0,$0,$589,39.74327900,-86.23631300
ST REGIS CULVERT INC,INDIANAPOLIS,1101 S KITLEY AVENUE,Marion IN,46203,P,$0,$0,$0,$0,39.75408890,-86.05339972
ST VINCENT ANDERSON REGIONAL,ANDERSON,2015 JACKSON ST,Madison IN,46014,D3,$0,$2171,$0,$2171,40.09591520,-85.68028483
ST. CHARLES BORROMEO CATHOLIC CHURC,BLOOMINGTON,2224 E THIRD STREET,Monroe IN,47401,P,$0,$0,$0,$0,39.16434600,-86.50679908
STAGGE FARMS INC,GREENSBURG,5026 W. COUNTY ROAD 240,Decatur IN,47240,P,$0,$0,$0,$0,,
STALLION WHOLESALE INC,INDIANAPOLIS,1435 E NAOMI STREET,Marion IN,46203,P,$0,$0,$0,$0,39.74248600,-86.13505088
STANDARD CHANGEMAKERS,INDIANAPOLIS,3130 N MITTHOEFFER RD,Marion IN,46235,P,$0,$0,$0,$0,39.80187530,-85.99062960
STAPLES DISTRIBUTION,TERRE HAUTE,700 E INDUSTRIAL DR,Vigo IN,47807,D3,$0,$1949,$0,$1949,,
STAR LEASING COMPANY,ZIONSVILLE,7450 S MAYFLOWER PARK DR,Boone IN,46077,P,$0,$0,$0,$0,39.93405500,-86.24183400
STAR PIPE,HOUSTON,4018 WESTHOLLOW PARKWAY,Harris TX,77082,C3,$0,$0,$0,$35830,29.71345000,-95.63169800
STAR PIPE,INDIANAPOLIS,4312 W MINNESOTTA,Marion IN,46241,C3,$0,$311,$0,$11119,,
STARK PRECISION MACHINE LLC,TERRE HAUTE,1205 E DALLAS DRIVE,Vigo IN,47802,P,$0,$0,$0,$0,39.36115500,-87.39860400
STEEL DYNAMICS,PITTSBORO,8000 N COUNTY RD 225 E,Hendricks IN,46167,C3,$0,$0,$744,$88008,39.87555700,-86.48215900
STEEL DYNAMICS NORTH AMERICA,COLUMBIA CITY,2601 SOUTH 700E,Whitley IN,46725,B2,$0,$18177,$104124,$122968,,
STEEL PARTS MFG,TIPTON,801 BERRYMAN PIKE,Tipton IN,46072,A1,$0,$0,$1589,$202396,40.29267194,-86.04572329
"STEINER ENTERPRISES, INC.",LAFAYETTE,3532 COLMAN COURT,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.42267000,-86.85225200
STELLANTIS,LIVONIA,PO BOX 537927,Wayne MI,48153,A3,$0,$0,$0,$302668,,
STELLO PRODUCTS,SPENCER,840 W HILLSIDE,Owen IN,47460,D3,$0,$706,$0,$706,39.28976690,-86.77218900
STEPHENS FABRICATION,KOKOMO,1801 S BERKLEY ST,Howard IN,46902,D3,$0,$0,$0,$188,40.46497600,-86.15654800
STEPHENS MACHINE,KOKOMO,1600 E DODGE ST,Howard IN,46902,D3,$0,$0,$0,$1661,40.46957060,-86.11161020
STEPHENS MACHINE,KOKOMO,1801 SOUTH BERKLEY RD,Howard IN,46902,D3,$0,$0,$0,$1661,40.46490700,-86.15557500
STERIS CORPORATION,MENTOR,5960 HEISLEY ROAD,Lake OH,44060,B1,$0,($488),$0,$128543,41.70889900,-81.30438900
STERLING GARAGE DOORS INC,COLUMBUS,630 BEAREN COURT,Bartholomew IN,47201,P,$0,$0,$0,$0,39.19058100,-85.88908300
STEVE WILLIAMSON,INDIANAPOLIS,9030 E C.R 700S,Marion IN,46231,D3,$0,$0,$0,$17,,
STEVE WILLIAMSON,INDIANAPOLIS,PO BOX 421462,Marion IN,46242,D3,$0,$0,$0,$17,,
STEVES ROOFING,BLOOMINGTON,5108 S COMMERCIAL ST,Monroe IN,47403,D3,$0,$3647,$0,$3647,39.10373600,-86.55217500
STICH FIX,PLAINFIELD,1631 OPUS DR,Hancock IN,46163,C3,$0,$0,$0,$33741,39.68255640,-86.33800140
STILL WATERS MANUFACTURING,NEW RICHMOND,7450 W 1125N,Montgomery IN,47967,D3,$0,$1659,$0,$1659,,
"STINSON METAL WORKS, INC",INDIANAPOLIS,2525 N SHADELAND AVENUE,Marion IN,46219,P,$0,$0,$0,$0,39.80359765,-86.04277570
STONE COSMETICS,BROAD RIPPLE,910 BROAD RIPPLE AVENUE,Marion IN,46220,D3,$0,$0,$562,$562,,
STONES FARM SERVICE NAPA,GREENSBURG,921 E MAIN ST,Decatur IN,47240,P,$0,$0,$0,$0,39.33660700,-85.47216500
STONY CREEK GOLF COURSE,NOBLESVILLE,11800 E 166TH ST,Hamilton IN,46060,P,$0,$0,$0,$0,40.03054100,-85.95681400
STOOPS FREIGHTLINER,CHICAGO,27825 NETWORK PLACE,Cook IL,60673,P,$0,$0,$0,$0,,
STORAGE SOLUTIONS INC,CARMEL,9760 MAYFLOWER PARK DR,Hamilton IN,46032,C3,$0,$0,$0,$33741,39.92846818,-86.23718907
STORAGE SOLUTIONS INC,CLAYTON,1974 INNOVATION BLVD,Hendricks IN,46118,C3,$0,$0,$0,$33741,39.61713350,-86.49027062
STORAGE SOLUTIONS INC,FISHERS,9982 E 121 ST,Hamilton IN,46037,C3,$0,$0,$0,$33741,39.96558200,-85.99097200
STORAGE SOLUTIONS INC,FRANKFORT,323 S CLINTON CO RD 300 W,Clinton IN,46041,C3,$0,$0,$701,$33741,40.28355200,-86.56143400
STORAGE SOLUTIONS INC,FRANKLIN,751 INTERNATIONAL DR,Johnson IN,46131,C3,$0,$0,$0,$33741,39.51787333,-86.06778223
STORAGE SOLUTIONS INC,GREENWOOD,1052 GREENWOOD SPRINGS BLVD,Johnson IN,46143,C3,$0,$0,$0,$33741,39.62830378,-86.07977505
STORAGE SOLUTIONS INC,GREENWOOD,2441 E MAIN ST,Johnson IN,46143,C3,$0,$0,$0,$33741,39.61444400,-86.05781100
STORAGE SOLUTIONS INC,IN,5010 W 81 ST,Marion IN,46268,C3,$0,$0,$0,$33741,39.90134700,-86.24710300
STORAGE SOLUTIONS INC,INDIANA,7676 ZIONSVILLE RD,Marion IN,46268,C3,$0,$0,$0,$33741,39.89080515,-86.26108481
STORAGE SOLUTIONS INC,INDIANAPOLIS,1401 S KEYSTONE AVE,Marion IN,46203,C3,$0,$0,$0,$33741,39.74954320,-86.11922081
STORAGE SOLUTIONS INC,INDIANAPOLIS,1440 BROOKVILLE WAY,Marion IN,46239,C3,$0,$0,$0,$33741,39.74802720,-86.04508620
STORAGE SOLUTIONS INC,INDIANAPOLIS,3374 PLAINFIELD RD,Marion IN,46231,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,INDIANAPOLIS,400 SHORTRIDGE DRIVE,Marion IN,46219,C3,$0,$0,$1081,$33741,39.76583550,-86.04224101
STORAGE SOLUTIONS INC,INDIANAPOLIS,4201 MILLERSVILLE RD,Marion IN,46205,C3,$0,$0,$0,$33741,39.83270800,-86.11317100
STORAGE SOLUTIONS INC,INDIANAPOLIS,5150 W 76TH ST,Marion IN,46268,C3,$0,$0,$0,$33741,39.89182950,-86.25010060
STORAGE SOLUTIONS INC,INDIANAPOLIS,6200 TECHNOLOGY CENTER DR,Marion IN,46278,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,INDIANAPOLIS,770 N HIGH SCHOOL RD,Marion IN,46214,C3,$0,$0,$0,$33741,39.77531546,-86.27099793
STORAGE SOLUTIONS INC,INDIANAPOLIS,7736 Zionsville RD,Marion IN,46268,C3,$0,$0,$0,$33741,39.89304764,-86.25995527
STORAGE SOLUTIONS INC,INDIANAPOLIS,8525 E 33RD ST,Marion IN,46226,C3,$0,$0,$0,$33741,39.81650360,-86.01759159
STORAGE SOLUTIONS INC,LAFAYETTE,1521 KEPNER DR,Tippecanoe IN,47905,C3,$0,$0,$2707,$33741,40.40194549,-86.84439026
STORAGE SOLUTIONS INC,LEBANON,135 S MT. ZION RD,,"",C3,$0,$0,$0,$33741,40.03835600,-86.48225600
STORAGE SOLUTIONS INC,MOORESVILLE,2496 WESTPOINT BOULEVARD,Morgan IN,46158,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,NOBLESVILLE,15210 NORTH POINTER BLVD,Hamilton IN,46060,C3,$0,$0,$0,$33741,40.00974700,-85.99822900
STORAGE SOLUTIONS INC,NOBLESVILLE,15255 ENDEAVOR DR,Hamilton IN,46060,C3,$0,$0,$0,$33741,40.01060607,-85.99144478
STORAGE SOLUTIONS INC,NOBLESVILLE,9589 E 153RD ST,Hamilton IN,46060,C3,$0,$0,$0,$33741,40.01163800,-85.99852700
STORAGE SOLUTIONS INC,PLAINFIELD,1201 PERRY RD,Hendricks IN,46168,C3,$0,$0,$0,$33741,39.68984419,-86.35616480
STORAGE SOLUTIONS INC,PLAINFIELD,1301 PERRY RD,,46169,C3,$0,$0,$0,$33741,39.68908978,-86.35614764
STORAGE SOLUTIONS INC,PLAINFIELD,1301 SMITH RD,Hendricks IN,46168,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,PLAINFIELD,1705 MIDWEST DR,Hendricks IN,46168,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,PLAINFIELD,6809 DELWARE DR,Hendricks IN,46168,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,PLAINFIELD,700 PERRY RD,Hendricks IN,46168,C3,$0,$0,$0,$33741,39.69623900,-86.35580500
STORAGE SOLUTIONS INC,PLAINFIELD,915 AIRTECH PKWY,Hendricks IN,46168,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,REMINGTON,16900 N HARVEST LAKE,Jasper IN,47977,C3,$0,$0,$0,$33741,,
STORAGE SOLUTIONS INC,WEST LAFAYETTE,423 GRANT ST,Tippecanoe IN,47906,C3,$0,$0,$0,$33741,40.41721100,-86.91243800
STORAGE SOLUTIONS INC,WESTFIELD,17005 WESTFIELD PARK RD,Hamilton IN,46074,C3,$0,$0,$0,$33741,40.03448123,-86.13916977
STORAGE SOLUTIONS INC,WESTFIELD,910 E 169TH ST,Hamilton IN,46074,C3,$0,$0,$0,$33741,40.03243588,-86.14247457
STORAGE SOLUTIONS INC,WHITESTOWN,4330 S CR 500 E,Boone IN,46075,C3,$0,$0,$0,$33741,39.97748600,-86.37620400
STOWERS AG SERVICES,KIRKLIN,6338 S CTY RD 1000 EAST,Clinton IN,46050,D3,$0,$510,$0,$510,,
STRAIGHTLINE AG & LAND SERVICES LLC,PITTSBURG,1238 E 540th AVE,Crawford KS,66762,P,$0,$0,$0,$0,37.39634500,-94.62546900
STRATOSPHERE QUALITY,FISHERS,12024 EXIT 5 PKWY,Hamilton IN,46038,P,$0,$0,$0,$0,39.96422385,-85.99962299
STRUCTURAL COMPONENTS FABRICATION,MARTINSVILLE,60 JAMES BALDWIN DRIVE,Morgan IN,46151,D3,$0,$298,$0,$298,39.41124100,-86.41685300
STRUCTURAL COMPOSITES INC,MELBOURNE,360 EAST DRIVE,Brevard FL,32904,D3,$0,$0,$0,$2867,28.10606122,-80.68912300
STRYTEN ENERGY,ALPHARETTA,3700 MANSELL ROAD,Fulton GA,30022,P,$0,$0,$0,$0,34.03830010,-84.29527919
SUBARU OF AMERICA,LAFAYETTE,3701 DAVID HOWARTH DRIVE,Tippecanoe IN,47909,D3,$0,$75,$0,$75,40.36550727,-86.83469479
SUBARU OF AMERICA,LEBANON,5190 S SR 267,Boone IN,46052,C3,$0,$0,$0,$68199,,
SUBURBAN GLASS SERVICE,WHITELAND,5999 N US 31,Johnson IN,46184,P,$0,$0,$0,$0,,
SUGAR CREEK LODGE,MONTEZUMA,6288 N TOWPATH ROAD,Parke IN,47862,D3,$0,$1861,$0,$1861,,
SUGAR CREEK SCRAP,WEST TERRE HAUTE,1201 W NATIONAL AVENUE,Vigo IN,47885,D3,$0,$0,$0,$3513,39.46170100,-87.45748300
SUGARCREEK FABRICATORS,CRAWFORDSVILLE,503 W 300 N,Montgomery IN,47933,P,$0,$0,$0,$0,40.08250700,-86.91352800
SULLIVAN,INDIANAPOLIS,6955 KEYSTONE AVE,Marion IN,46220,C3,$0,$0,$0,$33741,39.88177355,-86.12163710
SULLIVAN COMMERCIAL,INDIANAPOLIS,8112 WOODLAND DR,Marion IN,46268,D3,$0,$817,$0,$817,,
SULLIVAN COUNTY RECYCLING CENTER,SULLIVAN,321 SOUTH BROAD STREET,Sullivan IN,47882,P,$0,$0,$0,$0,39.09165926,-87.40514947
SUMCO,INDIANAPOLIS,1351 S GIRL SCHOOL RD,Marion IN,46231,P,$0,$0,$0,$0,,
SUN EQUIPMENT INC,FT WAYNE,3517 CANTWELL BLVD,Allen IN,46814,P,$0,$0,$0,$0,41.05105010,-85.32171840
SUN POLYMER,MOORESVILLE,100 SUN POLYMERS DR,Morgan IN,46158,D3,$0,$0,$0,$51,39.57104700,-86.36588800
SUN POLYMER,MOORESVILLE,PO BOX 249,Morgan IN,46158,D3,$0,$0,$0,$51,,
SUNBELT RENTALS,CHARLOTTE,PO BOX 410928,Mecklenburg NC,28241,C2,$0,$0,$0,$10508,,
SUNBELT RENTALS - CARMEL,CARMEL,410 W CARMEL DR,Hamilton IN,46032,C2,$0,$0,$0,$10508,39.96228945,-86.13181338
SUNBELT RENTALS PC220,BLOOMINGTON,5092 S PRODUCTION DR,Monroe IN,47403,C2,$0,$0,$0,$10508,39.10284500,-86.55100800
SUNBELT RENTALS PC309,LAFAYETTE,601 SAGAMORE PAKWAY N,Tippecanoe IN,47904,C2,$0,$0,$0,$10508,40.42269300,-86.85753100
SUNBELT RENTALS PC310,KOKOMO,850 DANIEL DR,Howard IN,46901,C2,$0,$0,$0,$10508,40.49455450,-86.10623181
SUNBELT RENTALS PC387,FISHERS,11120 ALLISONVILLE RD,Hamilton IN,46038,C2,$0,$0,$0,$10508,39.95041311,-86.04246231
SUNSHINE INTERNATIONAL,INDIANAPOLIS,2801 FORTUNE CIRCLE DR E,Marion IN,46241,P,$0,$0,$0,$0,39.72448560,-86.25454347
SUPERIOR AG SOLUTIONS LLC,EATON,5849 CONCORD ROAD,Preble OH,45320,D3,$0,$0,$0,$666,,
SUPERIOR INDUSTRIAL PRODUCTS,INDIANAPOLIS,2222 PROFIT DRIVE,Marion IN,46241,P,$0,$0,$0,$0,,
SUPERIOR SMALL ENGINES,MITCHELL,8835 STATE RD 60 WEST,Lawrence IN,47446,D3,$0,$516,$0,$516,38.73114500,-86.49007700
SUPERIOR STRUCTURES,LAFAYETTE,717 FARABEE COURT,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.41002845,-86.85179435
SUPERIOR VAN & MOBILITY LLC,INDIANAPOLIS,5410 S MADISON AVENUE,Marion IN,46227,D3,$0,$1951,$0,$1951,,
SUPPLY WAREHOUSE INC,NOBLESVILLE,15475 STONEY CREEK WAY,Hamilton IN,46060,P,$0,$0,$0,$0,,
SUPREME FORKLIFT & EQUIPMENT,APACHE JUNCTION,3695 E APACHE TRAIL,Pinal AZ,85119,D3,$0,$2532,$0,$2532,33.44520900,-111.50610100
SUPREME HEATING,TERRE HAUTE,PO BOX 2068,Vigo IN,47802,P,$0,$0,$0,$0,,
SURE TECH LABORATORIES,INDIANAPOLIS,7501 MILES DR,Marion IN,46231,D3,$0,$286,$0,$286,39.74309470,-86.29215105
SURPLUS CITY LLC,LAFAYETTE,3709 US HWY 52S,Tippecanoe IN,47905,D3,$0,$471,$0,$471,,
SVC MANUFACTURING INC.,INDIANAPOLIS,5858 DECATUR BLVD.,Marion IN,46241,A2,$0,$6154,$329153,$926639,39.68096660,-86.29916520
SWARTZ WAREHOUSE SERVICE,BARGERSVILLE,PO BOX 543,Johnson IN,46106,P,$0,$0,$0,$0,,
SWEETS AUTO REPAIR & WRECKER SERVIC,GREENSBURG,1304 W MAIN STREET,Decatur IN,47240,P,$0,$0,$0,$0,39.33671500,-85.50179000
SWISS MAID COUNTRY MARKET LLC,HOPE,310 JACKSON STREET,Bartholomew IN,47246,P,$0,$0,$0,$0,39.30407106,-85.77124206
SWITCH YARD BREWING,BLOOMINGTON,419 N WALNUT ST,Monroe IN,47404,P,$0,$0,$0,$0,39.17013200,-86.53395441
SWS REDISTRIBUTION CO,GARLAND,3102 MILLER PARK SOUTH,Dallas TX,75042,P,$0,$0,$0,$0,32.90379084,-96.67632955
SYCAMORE STORAGE LLC,TERRE HAUTE,300 NORTH FRUITRIDGE AVE,Vigo IN,47803,P,$0,$0,$0,$0,39.47754400,-87.36025200
SYSTEM SCALES,INDIANAPOLIS,4393 W 96TH ST,Marion IN,46268,D3,$0,$645,$0,$645,,
SZEP ELET LLC,INDIANAPOLIS,5827 W 73RD STREET,Marion IN,46278,P,$0,$0,$0,$0,39.88432610,-86.26469950
T C ENTERPRISES,MICHIGANTOWN,437 SOUTH STATE RD 29,Clinton IN,46057,P,$0,$0,$0,$0,,
T&T DISTILLERY INC,FRANKFORT,359 N MAIN STREET,Clinton IN,46041,P,$0,$0,$0,$0,40.28312190,-86.51188447
TA CENTER OF AMERICA PETROS,GREENSBURG,1409 S COUNTY RD 850 E,Decatur IN,47240,D3,$0,$1733,$0,$1733,,
TA SERVICES INC,AUSTIN,500 US 31,Scott IN,47102,C3,$0,$0,$2814,$43789,,
TA SERVICES INC,AUSTIN,500 US-31,Scott IN,47102,C3,$0,$516,$0,$43789,,
TA SERVICES INC,COLUMBUS,15200 S JONESVILLE RD,Bartholomew IN,47201,C3,$0,$3710,$18013,$26085,39.06888200,-85.88493500
TA SERVICES INC,COLUMBUS,1825 W 450 SOUTH,Bartholomew IN,47201,C3,$0,$0,$0,$26085,39.13341400,-85.94190500
TA SERVICES INC,GREENWOOD,790 COMMERCE PKWY W DR,Johnson IN,46143,C3,$0,$3244,$35973,$43789,39.60758600,-86.06996900
TA SERVICES INC,SEYMOUR,2209 KILLION AVE,Jackson IN,47274,C3,$0,$4362,$0,$26085,38.97247847,-85.86397994
TAEGEN,INDIANAPOLIS,1125 BROOKSIDE AVENUE,Marion IN,46202,D3,$0,$3121,$0,$3121,,
TAGHLEEF INDUSTRIES INC DISTRIBUTIO,TERRE HAUTE,1171 EAST CRAWFORD ST,Vigo IN,47807,A1,$0,$0,$0,$592149,39.45725800,-87.39977100
TAGHLEEF INDUSTRIES INC MFG,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$11002,$16623,$592149,39.59352801,-87.36031183
TAGHLEEF INDUSTRIES INC RECEIVING,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$0,$52969,$592149,39.59352801,-87.36031183
TAGHLEEF INDUSTRIES INC TENTER 1,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$36697,$15925,$592149,39.59352801,-87.36031183
TAGHLEEF INDUSTRIES INC TENTER 2,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$21938,$80568,$592149,39.59352801,-87.36031183
TAGHLEEF INDUSTRIES INC TENTER 3,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$13634,$64644,$592149,39.59352801,-87.36031183
TAGHLEEF INDUSTRIES INC TUBULAR,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$0,$12462,$37644,$592149,39.59352801,-87.36031183
TAJMAC-USA INC,INDIANAPOLIS,4950 W 79th ST,Marion IN,46268,D3,$0,$572,$0,$572,39.89799550,-86.24494679
TALON TEST LABORATORIES,INDIANAPOLIS,915 WESTERN DRIVE,Marion IN,46241,D3,$0,$1227,$0,$1253,,
"TANGOE US, INC",ZIONSVILLE,6110 TECHNOLOGY CENTER DRIVE,Boone IN,46077,P,$0,$0,$0,$0,39.92714700,-86.26255600
TARGET METAL BLANKING INC,NORTH VERNON,1 STEEL WAY STREET,Jennings IN,47265,D3,$0,$4566,$0,$4566,39.01214300,-85.63031400
TASCON CORP,INDIANAPOLIS,2213 DUKE STREET,Marion IN,46205,D3,$0,$0,$550,$550,39.83716445,-86.12386373
TC HEARTLAND,INDIANAPOLIS,4925 W 86TH ST,Marion IN,46268,P,$0,$0,$0,$0,39.90809000,-86.24401970
TCF NATIONAL BANK,MINNETONKA,11100 WAYZATA BLVD,Hennepin MN,55305,P,$0,$0,$0,$0,44.97387200,-93.41844100
TEC INDUSTRIAL TIRE,INDIANAPOLIS,5926 STOCKBERGER PLACE,Marion IN,46241,D3,$0,$0,$0,$1508,39.71995070,-86.26342246
TECHBUILT CONTROL SYSTEMS,INDIANAPOLIS,1131 COUNTRY CLUB ROAD,Marion IN,46234,P,$0,$0,$0,$0,39.78054500,-86.30735453
TECHNICAL THREADS,FRANKLIN,2112 EARLY LANE,Johnson IN,46131,P,$0,$0,$0,$0,39.47992684,-86.01683088
TECHNOLOGY RECYCLE,INDIANAPOLIS,8401 E WASHINGTON ST,Marion IN,46219,D3,$0,$0,$0,$944,39.77179405,-86.01882853
TECHNOLOGY RECYCLERS LLC,INDIANAPOLIS,8401 E WASHINGTON,Marion IN,46219,D3,$0,$0,$0,$235,,
TECHNOLOGY REUSE GROUP LLC,INDIANAPOLIS,1724 STOUT FIELD TERRANCE,Marion IN,46241,P,$0,$0,$0,$0,39.74119400,-86.23288700
TECHNOVATION WORLDWIDE,INDIANAPOLIS,7999 E 88TH STREET,Marion IN,46256,D3,$0,$0,$0,$583,,
TEK-HANDY LLC,TERRE HAUTE,904 S CENTER STREET,Vigo IN,47807,P,$0,$0,$0,$0,39.45754485,-87.40836028
TELAMON,WHITESTOWN,4656 ANSON BLVD,Boone IN,46075,C3,$0,$3845,$14750,$91946,,
TERESA'S HALLMARK,GREENWOOD,49 N STATE RD135,Johnson IN,46142,D3,$0,$258,$0,$258,39.61553600,-86.15745800
TERMINIX,INDIANAPOLIS,5664 WEST 73RD ST,Marion IN,46268,D3,$0,$1263,$0,$1263,,
TERRA DRIVE SYSTEMS,BROOKSTON,9098 WEST 800 SOUTH,White IN,47923,D3,$0,$0,$0,$2075,40.63552537,-87.04248046
TERRE HAUTE BREWING COMPANY,TERRE HAUTE,401 S. 9TH ST,Vigo IN,47807,P,$0,$0,$0,$0,39.46228600,-87.40451700
TERRE HAUTE CHEVROLET,TERRE HAUTE,5377 US HIGHWAY 41 SOUTH,Vigo IN,47802,D3,$0,$2331,$0,$2331,,
TERRE HAUTE INTERNATIONAL AIRPORT,TERRE HAUTE,581 SOUTH AIRPORT,Vigo IN,47803,P,$0,$0,$0,$0,,
TETRASOLV INC,ANDERSON,444 E 29TH STREET,Madison IN,46016,P,$0,$0,$0,$0,40.08737690,-85.67368037
TEXACON CUT STONE,BLOOMINGTON,4790 FLUCK MILL ROAD,Monroe IN,47403,P,$0,$0,$0,$0,39.07461900,-86.57026300
TEXTRON AVIATION INDIANAPOLIS SVC C,INDIANAPOLIS,6911 W PIERSON DRIVE,Marion IN,46241,D3,$0,$0,$0,$265,,
TEXTRON LLC,CHICAGO,26007 NETWORK PLACE,Cook IL,60673,P,$0,$0,$0,$0,,
TF FULFILLMENT,WHITESTOWN,4257 S 500 E,Boone IN,46075,P,$0,$0,$0,$0,39.97835000,-86.37070700
TGP OPERATIONS,BRAZIL,105 S FOREST AVE,Clay IN,47834,D3,$0,$0,$0,$482,39.52159590,-87.12507143
